WBAN,State,Name,Latitude,Longitude,relLatitude,relLongitude,cluster
3702,NC,KENANSVILLE,35.0,-77.968,-0.9329999999999998,1.0959999999999894,8
3703,NC,EDENTON,36.028,-76.567,0.09499999999999886,2.497,0
3705,NC,ELIZABETHTOWN,34.602,-78.568,-1.331000000000003,0.4959999999999951,8
3708,NC,GOLDSBORO,35.46,-77.95100000000001,-0.472999999999999,1.1129999999999853,8
3709,NC,ASHEBORO,35.654,-79.884,-0.27899999999999636,-0.8200000000000074,2
3711,NC,OXFORD,36.361,-78.518,0.42799999999999727,0.5459999999999923,8
3712,NC,ERWIN,35.379,-78.733,-0.554000000000002,0.33099999999998886,8
3713,NC,SMITHFIELD,35.541,-78.384,-0.392000000000003,0.6799999999999926,8
3720,NC,PINEHURST/SOUTHERN P,35.236999999999995,-79.384,-0.6960000000000051,-0.3200000000000074,8
3721,NC,OAK ISLAND,33.929,-78.067,-2.003999999999998,0.9969999999999999,8
3722,NC,ROXBORO,36.285,-78.983,0.35199999999999676,0.08099999999998886,8
3723,NC,SANFORD,35.582,-79.1,-0.3509999999999991,-0.036000000000001364,8
3727,NC,CLINTON,34.976,-78.351,-0.9570000000000007,0.7129999999999939,8
3731,NC,LOUISBURG,36.023,-78.33,0.09000000000000341,0.7339999999999947,8
3736,NC,KILL DEVIL HILLS,36.018,-75.671,0.08500000000000085,3.3929999999999865,0
3737,NC,CURRITUCK,36.399,-76.016,0.4660000000000011,3.0479999999999876,0
3738,NC,ROCKINGHAM,34.891,-79.759,-1.0420000000000016,-0.6950000000000074,5
3741,NC,WASHINGTON,35.57,-77.05,-0.36299999999999955,2.013999999999996,8
3763,NC,REIDSVILLE,36.437,-79.851,0.5039999999999978,-0.7870000000000061,2
3810,NC,HICKORY,35.741,-81.39,-0.19200000000000017,-2.3260000000000076,2
3812,NC,ASHEVILLE,35.431999999999995,-82.538,-0.5010000000000048,-3.4740000000000038,1
13713,NC,GOLDSBORO,35.339,-77.961,-0.5940000000000012,1.1029999999999944,8
13714,NC,FAYETTEVILLE,35.171,-79.014,-0.7620000000000005,0.04999999999999716,8
13722,NC,RALEIGH/DURHAM,35.871,-78.786,-0.06199999999999761,0.2779999999999916,8
13723,NC,GREENSBORO,36.098,-79.944,0.16499999999999915,-0.8800000000000097,2
13748,NC,WILMINGTON,34.268,-77.906,-1.6649999999999991,1.157999999999987,8
13754,NC,CHERRY POINT,34.9,-76.883,-1.0330000000000013,2.1809999999999974,8
13766,NC,MANTEO,35.919000000000004,-75.684,-0.013999999999995794,3.3799999999999955,0
13776,NC,LUMBERTON,34.61,-79.059,-1.3230000000000004,0.0049999999999954525,5
13783,NC,GREENVILLE,35.635,-77.383,-0.2980000000000018,1.6809999999999974,8
13786,NC,ELIZABETH CITY,36.260999999999996,-76.175,0.32799999999999585,2.888999999999996,0
13881,NC,CHARLOTTE,35.214,-80.944,-0.7190000000000012,-1.8800000000000097,2
53870,NC,GASTONIA,35.196999999999996,-81.156,-0.7360000000000042,-2.092000000000013,2
53872,NC,MONROE,35.016999999999996,-80.62100000000001,-0.9160000000000039,-1.5570000000000164,2
53877,NC,ASHEVILLE 8 SSW,35.494,-82.61399999999999,-0.43900000000000006,-3.549999999999997,1
53878,NC,ASHEVILLE 13 S,35.419000000000004,-82.557,-0.5139999999999958,-3.493000000000009,1
53888,NC,LEXINGTON,35.781,-80.3,-0.15200000000000102,-1.2360000000000042,2
53890,NC,RUTHERFORDTON,35.428000000000004,-81.93299999999999,-0.5049999999999955,-2.8689999999999998,2
53892,NC,JEFFERSON,36.431999999999995,-81.417,0.4989999999999952,-2.3530000000000086,2
53899,NC,LINCOLNTON,35.483000000000004,-81.15100000000001,-0.44999999999999574,-2.0870000000000175,2
63801,NC,CONCORD,35.382,-80.484,-0.5510000000000019,-1.4200000000000017,2
63807,NC,MOUNT AIRY,36.46,-80.55,0.527000000000001,-1.4860000000000042,2
63811,NC,ANDREWS,35.195,-83.851,-0.7379999999999995,-4.787000000000006,9
63812,NC,SALISBURY,35.646,-80.517,-0.28699999999999903,-1.453000000000003,2
63816,NC,STATESVILLE,35.765,-80.95100000000001,-0.16799999999999926,-1.8870000000000147,2
63819,NC,BOONE,36.2,-81.65,0.267000000000003,-2.5860000000000127,2
63821,NC,NORTH WILKESBORO,36.223,-81.085,0.28999999999999915,-2.021000000000001,2
63824,NC,ALBEMARLE,35.417,-80.15,-0.5159999999999982,-1.0860000000000127,2
63843,NC,SHELBY,35.256,-81.601,-0.6769999999999996,-2.537000000000006,2
63844,NC,FRANKLIN,35.223,-83.419,-0.7100000000000009,-4.355000000000004,1
63859,NC,MORGANTON,35.821,-81.611,-0.11200000000000188,-2.5470000000000113,2
93719,NC,NEW BERN,35.068000000000005,-77.047,-0.8649999999999949,2.016999999999996,8
93726,NC,KINSTON,35.328,-77.612,-0.6049999999999969,1.4519999999999982,8
93727,NC,NEW RIVER,34.7,-77.433,-1.232999999999997,1.630999999999986,8
93729,NC,CAPE HATTERAS,35.232,-75.623,-0.7010000000000005,3.4409999999999883,0
93737,NC,FORT BRAGG,35.132,-78.937,-0.8010000000000019,0.12699999999999534,8
93740,NC,FAYETTEVILLE,34.991,-78.88,-0.9420000000000002,0.1839999999999975,8
93743,NC,SWANSBORO,34.691,-77.03,-1.2419999999999973,2.033999999999992,8
93747,NC,CAMP MACKALL,35.036,-79.498,-0.8969999999999985,-0.4340000000000117,5
93753,NC,JACKSONVILLE,34.829,-77.612,-1.1039999999999992,1.4519999999999982,8
93759,NC,ROCKY MOUNT,35.855,-77.893,-0.07800000000000296,1.1709999999999923,8
93765,NC,BEAUFORT,34.734,-76.661,-1.198999999999998,2.4029999999999916,8
93776,NC,CHERRY POINT,34.883,-76.867,-1.0499999999999972,2.1969999999999885,8
93781,NC,ROANOKE RAPIDS,36.439,-77.71,0.5060000000000002,1.3539999999999992,8
93782,NC,MAXTON,34.792,-79.366,-1.1409999999999982,-0.3020000000000067,5
93783,NC,BURLINGTON,36.047,-79.477,0.11399999999999721,-0.4130000000000109,2
93785,NC,CHAPEL HILL,35.933,-79.064,0.0,0.0,8
93796,NC,AHOSKIE,36.298,-77.167,0.365000000000002,1.8969999999999914,0
93799,NC,WHITEVILLE,34.273,-78.70100000000001,-1.6599999999999966,0.36299999999998533,5
93807,NC,WINSTON SALEM,36.134,-80.222,0.2010000000000005,-1.1580000000000013,2
3701,VA,NORFOLK,36.666,-76.317,0.732999999999997,2.747,0
3704,VA,EMPORIA,36.687,-77.468,0.7539999999999978,1.5959999999999894,0
3706,VA,FREDRICKSBURG,38.266999999999996,-77.435,2.333999999999996,1.6289999999999907,7
3707,VA,FARMVILLE,37.358000000000004,-78.434,1.4250000000000043,0.6299999999999955,7
3710,VA,MANASSAS,38.721,-77.501,2.7879999999999967,1.5629999999999882,7
3714,VA,LEESBURG,39.078,-77.551,3.145000000000003,1.512999999999991,7
3715,VA,LOUISA,38.01,-77.967,2.076999999999998,1.0969999999999942,7
3716,VA,MELFA,37.647,-75.751,1.7139999999999986,3.312999999999988,0
3717,VA,WINCHESTER,39.143,-78.134,3.210000000000001,0.9299999999999926,7
3718,VA,ORANGE,38.247,-78.03399999999999,2.314,1.0300000000000011,7
3719,VA,SUFFOLK,36.681999999999995,-76.6,0.7489999999999952,2.4639999999999986,0
3730,VA,WILLIAMSBURG,37.239000000000004,-76.71600000000001,1.3060000000000045,2.3479999999999848,0
3734,VA,WEST POINT,37.521,-76.765,1.588000000000001,2.2989999999999924,0
3735,VA,STAFFORD,38.398,-77.456,2.4650000000000034,1.6079999999999899,7
3739,VA,CAPE CHARLES 5 ENE,37.291,-75.92699999999999,1.357999999999997,3.1370000000000005,0
13702,VA,HAMPTON,37.083,-76.36,1.1499999999999986,2.7039999999999935,0
13728,VA,DANVILLE,36.573,-79.336,0.6400000000000006,-0.27200000000000557,2
13733,VA,LYNCHBURG,37.338,-79.207,1.4050000000000011,-0.14300000000000068,7
13737,VA,NORFOLK,36.904,-76.192,0.9710000000000036,2.872,0
13740,VA,RICHMOND,37.510999999999996,-77.32300000000001,1.5779999999999959,1.7409999999999854,7
13741,VA,ROANOKE,37.317,-79.97399999999999,1.3840000000000003,-0.9099999999999966,2
13750,VA,NORFOLK,36.933,-76.283,1.0,2.7809999999999917,0
13762,VA,FENTRESS,36.695,-76.13600000000001,0.7620000000000005,2.927999999999983,0
13763,VA,FRANKLIN,36.698,-76.9,0.7650000000000006,2.1639999999999873,0
13769,VA,OCEANA,36.817,-76.033,0.8840000000000003,3.0309999999999917,0
13773,VA,QUANTICO,38.5,-77.3,2.567,1.7639999999999958,7
13868,VA,DUBLIN,37.137,-80.668,1.2040000000000006,-1.6040000000000134,2
53818,VA,ABINGDON,36.687,-82.03299999999999,0.7539999999999978,-2.968999999999994,2
53881,VA,BLACKSBURG,37.208,-80.40100000000001,1.2749999999999986,-1.3370000000000175,2
53895,VA,GALAX HILLSVILLE,36.766,-80.817,0.8329999999999984,-1.7530000000000001,2
63802,VA,WISE,36.988,-82.51799999999999,1.0549999999999997,-3.4539999999999935,2
63805,VA,MARION/WYTHEVILLE,36.895,-81.335,0.9620000000000033,-2.271000000000001,2
63806,VA,MARTINSVILLE,36.631,-80.017,0.6980000000000004,-0.953000000000003,2
63827,VA,RICHLANDS,37.064,-81.798,1.1310000000000002,-2.734000000000009,2
93714,VA,PETERSBURG,37.184,-77.501,1.2509999999999977,1.5629999999999882,7
93728,VA,FORT BELVOIR,38.715,-77.315,2.7820000000000036,1.7489999999999952,7
93735,VA,FORT EUSTIS,37.133,-76.609,1.2000000000000028,2.4549999999999983,0
93736,VA,CHARLOTTESVILLE,38.139,-78.453,2.206000000000003,0.61099999999999,7
93739,VA,WALLOPS ISLAND,37.941,-75.49600000000001,2.0080000000000027,3.5679999999999836,0
93741,VA,NEWPORT NEWS,37.132,-76.493,1.198999999999998,2.570999999999998,0
93757,VA,HOT SPRINGS,37.951,-79.833,2.0180000000000007,-0.7690000000000055,7
93760,VA,STAUNTON/WAYNESBRO/HARRISONBG,38.264,-78.884,2.331000000000003,0.1799999999999926,7
93773,VA,WAKEFIELD,36.984,-77.007,1.051000000000002,2.056999999999988,0
93775,VA,RICHMOND/ASHLAND,37.708,-77.434,1.7749999999999986,1.6299999999999955,7
